"Entity","Element","Description","Data quality","Mandatory","Example value","Included in Current Template","Required changes","Source type","Source reference","SAR API path","Template label"
"Adjudication","Incident Date/Time","Date and time when the incident occurred.","Good","Y","2025-05-05T10:30:00","Y","None.","Database","reported_adjudications.date_time_of_incident","[].incidentDetails.dateTimeOfIncident","Date and time of incident"
"Adjudication","Incident Location","Name of the location where the incident occurred.","Good","N","Education Block","Y","None - location name is resolved before rendering.","External","Locations Inside Prison API using reported_adjudications.location_uuid","[].incidentDetails.locationName","Location"
"Adjudication","Incident Location ID","Legacy NOMIS identifier for the incident location, where held.","Good","N","721899","N","None - documented for completeness; the current template uses the externally resolved location name.","Database","reported_adjudications.location_id","[].incidentDetails.locationId",""
"Adjudication","Incident Location UUID","DPS UUID identifying the incident location.","Good","Y","0194ad42-6616-72e9-96e5-e4fe9356e32b","N","None - documented for completeness; the current template uses the externally resolved location name.","Database","reported_adjudications.location_uuid","[].incidentDetails.locationUuid",""
"Adjudication","Handover Deadline","Deadline for handing the report over for review.","Good","Y","2025-05-07T10:30:00","Y","None.","Database","reported_adjudications.handover_deadline","[].incidentDetails.handoverDeadline","Handover deadline"
"Adjudication","Status","Current status of the adjudication.","Good","Y","AWAITING_REVIEW","Y","None.","Database","reported_adjudications.status","[].status","Status"
"Adjudication","Status Description","Human-readable description of the current adjudication status.","Good","Y","Awaiting review","N","None - documented for completeness; the current template displays the stored status code.","Derived","ReportedAdjudicationStatusTransformer using reported_adjudications.status","[].statusDescription",""
"Adjudication","Status Reason","Reason recorded for the current status.","Good","N","More evidence being collected","Y","None.","Database","reported_adjudications.status_reason","[].statusReason","Status reason"
"Adjudication","Status Details","Free text recorded in support of the current status.","Good","N","Further evidence requested","Y","None.","Database","reported_adjudications.status_details","[].statusDetails","Status details"
"Adjudication","Youth Offender","Whether the youth offender rule set applies to the prisoner.","Good","Y","True","Y","None - implemented in the current template.","Database","reported_adjudications.is_youth_offender","[].isYouthOffender","Youth offender"
"Adjudication","Date/Time of Discovery","Date and time when the incident was discovered.","Good","Y","2025-05-05T10:30:00","Y","None.","Database","reported_adjudications.date_time_of_discovery","[].incidentDetails.dateTimeOfDiscovery","Date and time of discovery"
"Adjudication","Issuing Officer","Surname of the officer who most recently issued the notice of report.","Good","N","Johnson","Y","None - surname is resolved by the SAR renderer.","External","SAR renderer getUserLastName helper using reported_adjudications.issuing_officer","[].issuingOfficer","Issuing officer"
"Adjudication","Gender","Gender used to select the relevant adjudication rule wording.","Good","Y","FEMALE","Y","None - implemented in the current template.","Database","reported_adjudications.gender","[].gender","Gender"
"Adjudication","Date/Time of Issue","Date and time when the notice of report was most recently issued.","Good","N","2025-05-05T10:30:00","Y","None.","Database","reported_adjudications.date_time_of_issue","[].dateTimeOfIssue","Date and time of issue"
"Adjudication","Date/Time of First Hearing","Date and time of the earliest scheduled hearing.","Good","N","2025-05-08T10:30:00","Y","None.","Database","reported_adjudications.date_time_of_first_hearing","[].dateTimeOfFirstHearing","Date and time of first hearing"
"Adjudication","Override Agency","Prison code for the establishment currently permitted to action a transferred adjudication.","Good","N","RSI","N","None - not included in the confirmed SAR template.","Database","reported_adjudications.override_agency_id","[].overrideAgencyId",""
"Adjudication","Agency Incident ID","NOMIS identifier for the related agency incident, where held.","Good","N","99345","N","None - internal identifier is not shown in the SAR template.","Database","reported_adjudications.agency_incident_id","Not exposed by SAR API",""
"Adjudication","Offender Booking ID","NOMIS offender booking identifier associated with the charge.","Good","N","12342343","N","None - explicitly excluded from the SAR template.","Database","reported_adjudications.offender_booking_id","Not exposed by SAR API",""
"Adjudication","Incident Role Code","Internal code describing the prisoner's role in the incident, where applicable.","Good","N","25a","N","None - documented for completeness; the current template displays the derived prison-rule details.","Database","reported_adjudications.incident_role_code","[].incidentRole.roleCode",""
"Adjudication","Associated Prisoner Number","Prison number of another prisoner associated with the prisoner's role in the incident.","Good","N","B2345BB","Y","None.","Database","reported_adjudications.incident_role_associated_prisoners_number","[].incidentRole.associatedPrisonersNumber","Associated prisoners"
"Adjudication","Associated Prisoner Name","Name recorded for another prisoner associated with the incident when a prison number is not available.","Good","N","Joe Bloggs","N","None - documented for completeness; not selected for the current SAR template.","Database","reported_adjudications.incident_role_associated_prisoners_name","[].incidentRole.associatedPrisonersName",""
"Adjudication","Incident Statement Complete","Whether the incident statement is marked complete in the SAR response.","Good","Y","True","N","None - documented for completeness; not selected for the current SAR template.","Derived","ReportedAdjudication.toDto sets completed to true for reported adjudications","[].incidentStatement.completed",""
"Adjudication","Created By User ID","Username of the staff member who created the adjudication record.","Good","Y","B_MILLS","N","None - documented for completeness; not selected for the current SAR template.","Database","reported_adjudications.create_user_id","[].createdByUserId",""
"Adjudication","Created On","Date and time treated as the creation of the reported adjudication.","Good","Y","2025-05-05T10:30:00","Y","None.","Derived","reported_adjudications.date_time_resubmitted when present, otherwise create_datetime","[].createdDateTime","Created on"
"Adjudication","Reviewed By User ID","Username of the staff member who reviewed the adjudication, where held.","Good","N","ITAG_ALO","N","None - documented for completeness; not selected for the current SAR template.","Database","reported_adjudications.review_user_id","[].reviewedByUserId",""
"Adjudication","Created On Behalf Of Officer","Username of the officer on whose behalf the adjudication was created, where applicable.","Good","N","AB123C","N","None - documented for completeness; not selected for the current SAR template.","Database","reported_adjudications.created_on_behalf_of_officer","[].createdOnBehalfOfOfficer",""
"Adjudication","Created On Behalf Of Reason","Reason recorded when the adjudication was created on behalf of another officer.","Good","N","Officer unable to access DPS","N","None - documented for completeness; not selected for the current SAR template.","Database","reported_adjudications.created_on_behalf_of_reason","[].createdOnBehalfOfReason",""
"Adjudication","DIS Issue History Issuing Officer","Username of an officer who previously issued the notice of report.","Good","N","AB123C","Y","None.","Database","dis_issue_history.issuing_officer","[].disIssueHistory[].issuingOfficer","Issuing officer"
"Adjudication","DIS Issue History Date/Time of Issue","Date and time of a previous issue of the notice of report.","Good","N","2025-05-04T10:30:00","Y","None.","Database","dis_issue_history.date_time_of_issue","[].disIssueHistory[].dateTimeOfIssue","Date and time of issue"
"Adjudication","Outcome Entered in NOMIS","Whether any hearing outcome for the adjudication was entered in NOMIS.","Good","Y","False","N","None - documented for completeness; not selected for the current SAR template.","Derived","ReportedAdjudication.toDto checks hearing outcome codes","[].outcomeEnteredInNomis",""
"Adjudication","Transferable Actions Allowed","Whether the current active caseload may action a transferred adjudication; not populated for SAR requests.","Good","N","False","N","None - documented for completeness; SAR requests do not provide active-caseload action context.","Derived","ReportedAdjudication.isActionable using active caseload and override agency","[].transferableActionsAllowed",""
"Adjudication","Suspended Punishments Activated","Action-context flag presented by the current template.","Good","Y","False","Y","No change requested - SubjectAccessRequestService uses the default false action-context value.","Derived","ReportedAdjudicationDto.canActionFromHistory; not populated with an active caseload in SAR requests","[].canActionFromHistory","Suspended punishments activated"
"Adjudication","Linked Charge Numbers","Charge numbers linked where a migrated NOMIS charge was split into multiple DPS charges.","Good","N","MDI-000002","Y","No change requested - SubjectAccessRequestService currently supplies the default empty list.","Derived","ReportedAdjudicationDto.linkedChargeNumbers; normally assembled from migrated split records","[].linkedChargeNumbers[]","Linked charge numbers"
"Hearing","Reported Adjudication ID","Internal identifier of the adjudication to which the hearing belongs.","Good","Y","23423434","N","None - internal identifier is not shown in the SAR template.","Database","hearing.reported_adjudication_fk_id","Not exposed by SAR API",""
"Hearing","Hearing ID","Unique identifier of the hearing.","Good","Y","23434343","N","None - internal identifier is not shown in the SAR template.","Database","hearing.id","[].hearings[].id; [].outcomes[].hearing.id",""
"Hearing","Agency ID","Name of the prison where the hearing takes place.","Good","Y","Moorland (HMP & YOI)","Y","None - prison name is resolved by the SAR renderer.","External","SAR renderer getPrisonName helper using hearing.agency_id","[].hearings[].agencyId; [].outcomes[].hearing.agencyId","Agency"
"Hearing","Hearing Location","Name of the location where the hearing is held.","Good","N","Adjudication Room 1","Y","None - location name is resolved before rendering.","External","Locations Inside Prison API using hearing.location_uuid","[].hearings[].locationName; [].outcomes[].hearing.locationName","Location"
"Hearing","Hearing Location ID","Legacy NOMIS identifier for the hearing location, where held.","Good","N","721899","N","None - documented for completeness; the current template uses the externally resolved location name.","Database","hearing.location_id","[].hearings[].locationId; [].outcomes[].hearing.locationId",""
"Hearing","Hearing Location UUID","DPS UUID identifying the hearing location.","Good","Y","0194ad42-6616-72e9-96e5-e4fe9356e32b","N","None - documented for completeness; the current template uses the externally resolved location name.","Database","hearing.location_uuid","[].hearings[].locationUuid; [].outcomes[].hearing.locationUuid",""
"Hearing","Date/Time of Hearing","Date and time when the hearing is scheduled or held.","Good","Y","2025-05-08T10:30:00","Y","None.","Database","hearing.date_time_of_hearing","[].hearings[].dateTimeOfHearing; [].outcomes[].hearing.dateTimeOfHearing","Date and time of hearing"
"Hearing","Charge Number","Charge number to which the hearing belongs.","Good","Y","MDI-000001","N","None - the charge number is displayed once at adjudication level.","Database","hearing.charge_number","Not exposed on HearingDto",""
"Hearing","OIC Hearing ID","NOMIS Officer in Charge hearing identifier, where held.","Good","N","1006494","N","None - internal identifier is not included in the hearing section.","Database","hearing.oic_hearing_id","Not exposed by SAR API",""
"Hearing","OIC Hearing Type","Type of adjudicator and rule set used for the hearing.","Good","Y","GOV_ADULT","Y","None.","Database","hearing.oic_hearing_type","[].hearings[].oicHearingType; [].outcomes[].hearing.oicHearingType","OIC hearing type"
"Hearing","OIC Hearing Type Description","Human-readable description of the adjudicator type.","Good","Y","Governor","N","None - documented for completeness; the current template displays the stored hearing type.","Derived","OicHearingTypeTransformer using hearing.oic_hearing_type","[].hearings[].oicHearingTypeDescription; [].outcomes[].hearing.oicHearingTypeDescription",""
"Hearing","Representative","Name of the person supporting the prisoner at the hearing.","Good","N","Joe Anon","Y","None - implemented in the current template.","Database","hearing.representative","[].hearings[].representative; [].outcomes[].hearing.representative","Representative"
"Outcome","Outcome ID","Internal identifier of an adjudication outcome.","Good","Y","23434343","N","None - internal identifier is not shown in the SAR template.","Database","outcome.id","[].outcomes[].outcome.outcome.id; [].outcomes[].outcome.referralOutcome.id",""
"Outcome","Hearing Outcome ID","Unique identifier of the outcome recorded during a hearing.","Good","Y","23434344","N","None - internal identifier is not shown in the SAR template.","Database","hearing_outcome.id","[].hearings[].outcome.id; [].outcomes[].hearing.outcome.id",""
"Outcome","Adjudicator","Surname of the person conducting the hearing.","Good","Y","Topper","Y","None - surname is resolved by the SAR renderer.","External","SAR renderer getUserLastName helper using hearing_outcome.adjudicator","[].hearings[].outcome.adjudicator; [].outcomes[].hearing.outcome.adjudicator","Adjudicator"
"Outcome","Adjourn Reason","Reason why the hearing was adjourned, where applicable.","Good","N","LEGAL_ADVICE","Y","None - implemented in the current template.","Database","hearing_outcome.adjourn_reason","[].hearings[].outcome.reason; [].outcomes[].hearing.outcome.reason","Adjourn reason"
"Outcome","Plea","Prisoner's response to the charge at the hearing.","Good","N","NOT_GUILTY","Y","None.","Database","hearing_outcome.plea","[].hearings[].outcome.plea; [].outcomes[].hearing.outcome.plea","Plea"
"Outcome","Plea Description","Human-readable description of the prisoner's plea, where recorded.","Good","N","Not guilty","N","None - documented for completeness; the current template displays the stored plea code.","Derived","HearingOutcomeTransformer using hearing_outcome.plea","[].hearings[].outcome.pleaDescription; [].outcomes[].hearing.outcome.pleaDescription",""
"Outcome","Details","Free text notes recorded against the hearing outcome.","Good","N","Prisoner was agitated and the governor considered it unsafe to proceed","Y","None - implemented in the current template.","Database","hearing_outcome.details","[].hearings[].outcome.details; [].outcomes[].hearing.outcome.details","Details"
"Outcome","Hearing Outcome Code","Action taken by the adjudicator at the hearing.","Good","Y","COMPLETE","Y","None.","Database","hearing_outcome.code","[].hearings[].outcome.code; [].outcomes[].hearing.outcome.code","Code"
"Outcome","Hearing Outcome Code Description","Human-readable description of the action taken by the adjudicator.","Good","Y","Hearing complete - add adjudication finding","N","None - documented for completeness; the current template displays the stored outcome code.","Derived","HearingOutcomeTransformer using hearing_outcome.code","[].hearings[].outcome.codeDescription; [].outcomes[].hearing.outcome.codeDescription",""
"Outcome","Outcome Code","Category of finding or decision recorded against the charge.","Good","Y","REFER_POLICE","Y","None.","Database","outcome.code","[].outcomes[].outcome.outcome.code; [].outcomes[].outcome.referralOutcome.code","Code"
"Outcome","Outcome Details","Free text supporting an adjudication finding or decision.","Good","N","Refer with no hearing","Y","None - implemented in the current template.","Database","outcome.details","[].outcomes[].outcome.outcome.details; [].outcomes[].outcome.referralOutcome.details","Details"
"Outcome","Not Proceed Reason","Reason why the charge was not proceeded with, where applicable.","Good","N","ANOTHER_WAY","Y","None - implemented in the current template.","Database","outcome.not_proceed_reason","[].outcomes[].outcome.outcome.reason; [].outcomes[].outcome.referralOutcome.reason","Not proceed reason"
"Outcome","Quashed Reason","Reason why the charge was quashed, where applicable.","Good","N","FLAWED_CASE","Y","None - implemented in the current template.","Database","outcome.quashed_reason","[].outcomes[].outcome.outcome.quashedReason; [].outcomes[].outcome.referralOutcome.quashedReason","Quashed reason"
"Outcome","OIC Hearing ID","NOMIS Officer in Charge hearing identifier associated with the outcome.","Good","N","1006494","Y","None - implemented in the current template.","Database","outcome.oic_hearing_id","[].outcomes[].outcome.outcome.oicHearingId; [].outcomes[].outcome.referralOutcome.oicHearingId","OIC hearing ID"
"Outcome","Refer Gov Reason","Reason category for referring the charge to the governor.","Good","N","REVIEW_FOR_REFER_POLICE","Y","None - implemented in the current template.","Database","outcome.refer_gov_reason","[].outcomes[].outcome.outcome.referGovReason; [].outcomes[].outcome.referralOutcome.referGovReason","Refer to governor reason"
"Outcome","Can Remove","Whether the outcome can be removed in the current adjudication context.","Good","Y","True","N","None - documented for completeness; action-state fields are not selected for the SAR template.","Derived","Outcome.toDto using whether the adjudication has linked additional days","[].outcomes[].outcome.outcome.canRemove; [].outcomes[].outcome.referralOutcome.canRemove",""
"Punishment","Punishment ID","Internal identifier of the punishment.","Good","Y","234343434","N","None - internal identifier is not shown in the SAR template.","Database","punishment.id","[].punishments[].id",""
"Punishment","Punishment Type","Type of punishment imposed on the prisoner.","Good","Y","PRIVILEGE","Y","None.","Database","punishment.type","[].punishments[].type","Type"
"Punishment","Punishment Type Description","Human-readable description of the punishment type.","Good","Y","Loss of privileges","N","None - documented for completeness; the current template displays the stored punishment type.","Derived","PunishmentTypeTransformer using punishment.type","[].punishments[].typeDescription",""
"Punishment","Has Child Under 18","Whether the prisoner has a child under 18; conditionally required for social visits punishments.","Good","N","True","N","None - not requested for the current SAR template.","Database","punishment.has_child_under_18","[].punishments[].hasChildUnder18",""
"Punishment","Punishment Duration","Duration of the current punishment schedule.","Good","N","14","Y","None.","Database","punishment_schedule.duration","[].punishments[].schedule.duration","Duration"
"Punishment","Punishment Days","Deprecated duration alias retained in the SAR API response for compatibility.","Good","Y","14","N","None - documented for completeness; the current template uses duration.","Derived","PunishmentSchedule.toDto copies punishment_schedule.duration to days","[].punishments[].schedule.days",""
"Punishment","Punishment Start Date","Start date of the current punishment schedule.","Good","N","2016-04-26","Y","None.","Database","punishment_schedule.start_date","[].punishments[].schedule.startDate","Start date"
"Punishment","Punishment End Date","End date of the current punishment schedule.","Good","N","2016-05-10","Y","None.","Database","punishment_schedule.end_date","[].punishments[].schedule.endDate","End date"
"Punishment","Punishment Comments","Relevant information recorded about punishment changes.","Good","N","Woodworking without pay after breaking stool","Y","None - current template renders the punishment comment.","Database","punishment_comments.comment","[].punishmentComments[].comment","Comment"
"Punishment","Measurement","Unit used for the punishment duration.","Good","Y","DAYS","Y","None.","Database","punishment_schedule.measurement","[].punishments[].schedule.measurement","Measurement"
"Punishment","Privilege Type","Predefined privilege restricted or removed as part of the punishment.","Good","N","OTHER","Y","None.","Database","punishment.privilege_type","[].punishments[].privilegeType","Privilege type"
"Punishment","Privilege Type Description","Human-readable description of the restricted privilege, where applicable.","Good","N","Other","N","None - documented for completeness; the current template displays the stored privilege type.","Derived","PrivilegeTypeTransformer using punishment.privilege_type","[].punishments[].privilegeTypeDescription",""
"Punishment","Other Privilege","Free text description of another privilege that was restricted or removed.","Good","N","PHONE_CALLS","Y","None - implemented in the current template.","Database","punishment.other_privilege","[].punishments[].otherPrivilege","Other privilege"
"Punishment","Stoppage Percentage","Percentage of earnings stopped by an earnings punishment.","Good","N","50","Y","No change requested - the current optional template binding is retained.","Database","punishment.stoppage_percentage","[].punishments[].stoppagePercentage","Percentage stopped"
"Punishment","Activated By Charge Number","Charge number of the later adjudication that activated the suspended punishment.","Good","N","MDI-000002","Y","No change requested - the current optional template binding is retained.","Database","punishment.activated_by_charge_number","[].punishments[].activatedBy","Activated by charge number"
"Punishment","Activated From Charge Number","Charge number of the suspended punishment being activated, when supplied in action context.","Good","N","MDI-000001","N","None - documented for completeness; SAR requests do not supply suspended-punishment action context.","Derived","Punishment.toDto activatedFrom parameter; default null for SAR punishment mapping","[].punishments[].activatedFrom",""
"Punishment","Suspended Until","Date until which the punishment is suspended.","Good","N","2025-05-05","Y","No change requested - the current optional template bindings are retained.","Database","punishment_schedule.suspended_until; punishment.suspended_until","[].punishments[].schedule.suspendedUntil","Suspended until; Suspend until"
"Punishment","Sanction Seq","NOMIS sanction sequence identifier for a migrated or synchronised punishment.","Good","N","1","Y","No change requested - the current optional template binding is retained and is not supplied by the SAR API.","Database","punishment.sanction_seq","Not exposed by SAR API","Sanction sequence"
"Punishment","Amount","Amount of money owed for a damages-owed punishment.","Good","N","£3.10","Y","No change requested - the current optional template binding is retained.","Database","punishment.amount","[].punishments[].damagesOwedAmount","Amount"
"Punishment","Payback Notes","Staff notes describing the payback work required.","Good","N","Paid some of it back","Y","None.","Database","punishment.payback_notes","[].punishments[].paybackNotes","Payback notes"
"Punishment","Consecutive to Charge Number","Charge number of the punishment that this punishment follows consecutively.","Good","N","MDI-000001","Y","No change requested - the current optional template binding is retained.","Database","punishment.consecutive_to_charge_number","[].punishments[].consecutiveChargeNumber","Consecutive to charge number"
"Punishment","Consecutive Report Available","Whether the consecutive charge is available to view in the current action context.","Good","N","True","N","None - documented for completeness; SAR requests do not supply consecutive-report action context.","Derived","Punishment.isConsecutiveReportAvailable using the action-context charge list","[].punishments[].consecutiveReportAvailable",""
"Punishment","Can Remove","Whether the punishment can be removed in the current adjudication context.","Good","Y","True","N","None - documented for completeness; action-state fields are not selected for the SAR template.","Derived","Punishment.toDto using punishment type, linked additional days and rehabilitation state","[].punishments[].canRemove",""
"Punishment","Can Edit","Whether the punishment can be edited in the current adjudication context.","Good","Y","True","N","None - documented for completeness; action-state fields are not selected for the SAR template.","Derived","Punishment.toDto using rehabilitative activities and canRemove","[].punishments[].canEdit",""
"Punishment","Rehab Completed","Whether all attached rehabilitative activities were completed.","Good","N","True","Y","No change requested - the current optional template binding is retained.","Database","punishment.rehab_completed","[].punishments[].rehabilitativeActivitiesCompleted","Rehab completed"
"Punishment","Rehab Not Completed Outcome","Decision recorded when rehabilitative activities were not completed.","Good","N","PARTIAL_ACTIVATE","Y","No change requested - the current optional template binding is retained.","Database","punishment.rehab_not_completed_outcome","[].punishments[].rehabilitativeActivitiesNotCompletedOutcome","Rehab not completed outcome"
"Punishment","Previous Suspended Until Date","Previous suspension end date retained when an incomplete rehabilitation outcome extends the suspension.","Good","N","2025-05-05","N","None - documented for completeness; not selected for the current SAR template.","Derived","Punishment.toDto using the previous punishment schedule for EXT_SUSPEND","[].punishments[].previousSuspendedUntilDate",""
"Punishment","Rehab Activity ID","Unique identifier of a rehabilitative activity.","Good","Y","12345","N","None - internal identifier is not shown in the SAR template.","Database","rehabilitative_activity.id","[].punishments[].rehabilitativeActivities[].id",""
"Punishment","Rehab Details","Details of a rehabilitative activity attached to the punishment.","Good","N","Washing dishes","Y","None.","Database","rehabilitative_activity.details","[].punishments[].rehabilitativeActivities[].details","Details"
"Punishment","Rehab Monitor","Surname of the person responsible for monitoring the rehabilitative activity.","Good","N","Smith","Y","None - surname is resolved by the SAR renderer.","External","SAR renderer getUserLastName helper using rehabilitative_activity.monitor","[].punishments[].rehabilitativeActivities[].monitor","Monitor"
"Punishment","Rehab Total Sessions","Number of sessions the prisoner must attend for a rehabilitative activity.","Good","N","6","Y","None.","Database","rehabilitative_activity.total_sessions","[].punishments[].rehabilitativeActivities[].totalSessions","Total sessions"
"Punishment","Rehab End Date","Date by which a rehabilitative activity must be completed.","Good","N","2025-06-30","Y","None.","Database","rehabilitative_activity.end_date","[].punishments[].rehabilitativeActivities[].endDate","End date"
